iter	Logloss
0	0.6783488327
1	0.6649746714
2	0.6533812041
3	0.6426815414
4	0.6327777268
5	0.6237160709
6	0.6150550028
7	0.6088083678
8	0.6014636693
9	0.5948721493
10	0.5883330619
11	0.5842441084
12	0.5794554272
13	0.5740756996
14	0.5705814528
15	0.5658363839
16	0.5616539734
17	0.5574237115
18	0.5532243432
19	0.5498607229
20	0.5461354978
21	0.54253806
22	0.539107541
23	0.5366418935
24	0.5340204848
25	0.5319424813
26	0.5297262208
27	0.5268939053
28	0.5245910973
29	0.5223304271
30	0.5207830912
31	0.5186398196
32	0.5173199679
33	0.5163680897
34	0.5146570669
35	0.513291422
36	0.5113757006
37	0.5098976473
38	0.5084163938
39	0.5068258094
40	0.5054857621
41	0.5038876171
42	0.5021665388
43	0.500710327
44	0.4993367813
45	0.498110569
46	0.4967942851
47	0.495766373
48	0.4945261024
49	0.4933828346
50	0.4924796008
51	0.491673155
52	0.4908891567
53	0.4901141768
54	0.4891981591
55	0.4883880514
56	0.4878238406
57	0.4872511713
58	0.4867174303
59	0.4862490147
60	0.4857555367
61	0.4850506856
62	0.4843368306
63	0.4836116521
64	0.4830687342
65	0.4825011536
66	0.4821419752
67	0.4816158059
68	0.4810373009
69	0.4806806744
70	0.4806215124
71	0.4802393847
72	0.4798745332
73	0.4796198478
74	0.479174751
75	0.4789462663
76	0.4786278441
77	0.4783805457
78	0.4781808328
79	0.4778535117
80	0.4775841808
81	0.4773297552
82	0.476962748
83	0.4766437988
84	0.4762295388
85	0.4759272896
86	0.4756837959
87	0.4754795752
88	0.475199633
89	0.475012913
90	0.474890272
91	0.4746632639
92	0.4745117214
93	0.4742284876
94	0.4740022694
95	0.4737308127
96	0.4735322893
97	0.4733464138
98	0.4732437108
99	0.4730387598
