iter	Passed	Remaining
0	2	224
1	4	215
2	6	199
3	7	186
4	9	171
5	10	166
6	12	163
7	13	156
8	15	153
9	16	149
10	18	147
11	19	139
12	20	137
13	22	137
14	23	133
15	25	132
16	26	130
17	28	129
18	30	128
19	31	124
20	32	123
21	34	121
22	35	119
23	37	117
24	38	116
25	39	113
26	41	111
27	47	121
28	49	120
29	50	118
30	51	115
31	53	113
32	54	110
33	55	107
34	57	106
35	59	105
36	60	103
37	62	101
38	63	99
39	65	98
40	67	96
41	68	94
42	70	93
43	71	91
44	73	89
45	74	87
46	76	86
47	77	84
48	79	82
49	81	81
50	82	79
51	84	77
52	85	76
53	87	74
54	88	72
55	90	71
56	91	69
57	93	67
58	94	65
59	96	64
60	97	62
61	99	60
62	101	59
63	102	57
64	104	56
65	105	54
66	107	52
67	108	51
68	110	49
69	111	47
70	113	46
71	114	44
72	116	43
73	117	41
74	118	39
75	119	37
76	120	36
77	121	34
78	122	32
79	124	31
80	125	29
81	127	27
82	128	26
83	130	24
84	131	23
85	133	21
86	135	20
87	136	18
88	138	17
89	139	15
90	140	13
91	142	12
92	143	10
93	145	9
94	146	7
95	148	6
96	149	4
97	150	3
98	152	1
99	153	0
